ID,StoreName,Address,Category,StoreType,State,CityCN,Country,PostalCode,City,Street,HouseNumber,Latitude,Longitude,DailySales,MonthlySales,DailyTraffic,TrafficLevel,MachineCount
166,By Ali,"Kantstraße 38, 10625 Berlin,Germany",餐厅,24小时餐厅,柏林,柏林,Germany,10625,Berlin,Kantstraße,38,52.506441,13.3146508,,,,,
167,"Cocktailbar & Shisha Lounge
 ""NESSEBAR""","Kaiser-Friedrich-Straße 49, 10627 Berlin,Germany",Club,水烟吧,柏林,柏林,Germany,10627,Berlin,Kaiser-Friedrich-Straße,49,52.5071415,13.3019568,,,,,
177,MIDAM Korean BBQ Restaurant,"Stuttgarter Pl. 28, 10627 Berlin,Germany",餐厅,网红餐厅,柏林,柏林,Germany,10627,Berlin,Stuttgarter Pl.,28,52.5049257,13.3011849,,,,,
178,Cheers Ktv Bar,"Wilmersdorfer Str. 76, 10629 Berlin,Germany",Club,Club,柏林,柏林,Germany,10629,Berlin,Wilmersdorfer Str.,76,52.5028379,13.3074843,,,,,
309,Golden Bay,"Loggerweg 9-10, 18055 Rostock,Germany",餐厅,大型自助餐厅,梅前州,罗斯托克,Germany,18055,Rostock,Loggerweg,9,54.0926207,12.1494514,,,,,
191,China-Restaurant Phönix,"Baurstraße 2, 22605 Hamburg,Germany",餐厅,大型自助餐厅,汉堡,汉堡,Germany,22605,Hamburg,Baurstraße,2,53.5577811,9.9002936,,,,,
301,Chengdu Restaurant,"Breitenbachpl. 8, 14195 Berlin,Germany",餐厅,市中心商圈,柏林,柏林,Germany,14195,Berlin,Breitenbachpl,8,52.4674725,13.3081963,,,,,
307,PETER PANE Burgergrill & Bar,"Friedrichspl. 2-3, 34117 Kassel, Germany,Germany",餐厅,市中心商圈,黑森州,卡塞尔,Germany,34117,Kassel,Friedrichspl.,2,51.3131809,9.4948436,,,,,
308,Schönfelder Späti,"Schönfelder Str. 18, 34121 Kassel, Germany,Germany",Kiosk,Kiosk,黑森州,卡塞尔,Germany,34121,Kassel,Schönfelder Str.,18,51.3103712,9.469422,,,,,
176,BER-Hong Shun 鸿顺酒楼,"Falkenhagener Str. 68, 14612 Falkensee,Germany",餐厅,网红餐厅,柏林,柏林,Germany,14612,Berlin,Falkenhagener Str.,68,52.5703815,13.0942204,,,,,
179,STR-Asia Gourmet东方美食城,"Rennstraße 30, 73728 Esslingen am Neckar,Germany",餐厅,网红餐厅,巴符州,斯图加特,Germany,73728,Stuttgart,Rennstraße,30,48.7306265,9.3229621,,,,,
180,STR-Asian Shop Leonberg,"Römerstraße 68, 71229 Leonberg,Germany",Kiosk,Kiosk,巴符州,斯图加特,Germany,71229,Stuttgart,Römerstraße,68,48.7966944,9.0093478,,,,,
181,STR-Asia Markt & Kiosk,"Bahnhofstraße 19, 74372 Sersheim,Germany",Kiosk,Kiosk,巴符州,斯图加特,Germany,74372,Stuttgart,Bahnhofstraße,19,48.9587475,9.0169659,,,,,
182,WIE-TAKUMI Wiesbaden,"Friedrichstraße 55, 65185 Wiesbaden,Germany",餐厅,市中心商圈,黑森州,威斯巴登,Germany,65185,Wiesbaden,Friedrichstraße,55,50.0804197,8.2369988,,,,,
183,FRA-Ramada Hotel Frankfurt,"Weserstr. 17, 60329 Frankfurt am Main,Germany",餐厅,网红餐厅,黑森州,法兰克福,Germany,60329,Frankfurt am Main,Weserstr.,17,50.1083107,8.6695784,,,,,
311,Spicy Temptation 川流火锅,"Ungererstraße 56, 80805 München,Germany",餐厅,网红餐厅,巴伐利亚州,慕尼黑,Germany,80805,München,Ungererstraße,56,48.1666147,11.5906569,,,,,
312,Oishii Sushi & Grill Restaurant,"Wilhelmstraße 58a, 65183 Wiesbaden,Germany",餐厅,网红餐厅,黑森州,威斯巴登,Germany,65183,Wiesbaden,Wilhelmstraße,58a,50.0854456,8.2437279,,,,,
313,豪客来酒楼中餐馆 CHIN-THAI,"Hanauer Str. 15, 61169 Friedberg (Hessen),Germany",餐厅,大型自助餐厅,黑森州,弗里德贝格,Germany,61169,Friedberg,Hanauerstr,15,50.3342724,8.7588629,,,,,
314,Munich Germanstyle Trade & Shop GmbH,"Thomas-Wimmer-Ring 1 80539 München,Germany",零售,综合零售店,巴伐利亚州,慕尼黑,Germany,80805,München,Thomas-Wimmer-Ring,1,48.1353741,11.5823473,,,,,
315,Shangri-La 华盛酒楼,"Vilsstraße 26, 93059 Regensburg,Germany",餐厅,网红餐厅,巴伐利亚州,雷根斯堡,Germany,93059,Regensburg,Vilsstraße,26,49.0264879,12.1243119,,,,,
316,Asia Restaurant Liu,"Von-Seeckt-Straße 23, 93053 Regensburg,Germany",餐厅,网红餐厅,巴伐利亚州,雷根斯堡,Germany,93053,Regensburg,Von-Seeckt-Straße,23,48.9999436,12.1228015,,,,,
